round 114, feat 100, thresh 0.0000, roundErr 0.5334
round 115, feat 441, thresh 0.0000, roundErr 0.4666
round 116, feat 630, thresh 0.1925, roundErr 0.5336
round 117, feat 735, thresh 0.0000, roundErr 0.4674
round 118, feat 923, thresh 0.2143, roundErr 0.5328
round 119, feat 602, thresh 0.1021, roundErr 0.4701
round 120, feat 635, thresh 0.0000, roundErr 0.5300
round 121, feat 1215, thresh 0.1177, roundErr 0.4686
round 122, feat 132, thresh 0.0000, roundErr 0.5326
round 123, feat 437, thresh 0.1559, roundErr 0.4675
round 124, feat 758, thresh 0.1192, roundErr 0.5321
round 125, feat 461, thresh 0.0000, roundErr 0.4688
round 126, feat 480, thresh 0.2342, roundErr 0.5320
round 127, feat 1015, thresh 0.1114, roundErr 0.4681
round 128, feat 894, thresh 0.0974, roundErr 0.5301
round 129, feat 755, thresh 0.0715, roundErr 0.4729
round 130, feat 561, thresh 0.0000, roundErr 0.5265
round 131, feat 1, thresh 0.0000, roundErr 0.4711
round 132, feat 504, thresh 0.0000, roundErr 0.5325
round 133, feat 467, thresh 0.3047, roundErr 0.4679
round 134, feat 290, thresh 0.0000, roundErr 0.5318
round 135, feat 441, thresh 0.0000, roundErr 0.4683
round 136, feat 193, thresh 0.1105, roundErr 0.5316
round 137, feat 2, thresh 0.2817, roundErr 0.4685
round 138, feat 250, thresh 0.0000, roundErr 0.5310
round 139, feat 0, thresh 0.0000, roundErr 0.4683
round 140, feat 49, thresh 0.0000, roundErr 0.5314
round 141, feat 737, thresh 0.0000, roundErr 0.4691
round 142, feat 632, thresh 0.0000, roundErr 0.5312
round 143, feat 1215, thresh 0.1177, roundErr 0.4685
round 144, feat 1154, thresh 0.0000, roundErr 0.5311
round 145, feat 469, thresh 0.1393, roundErr 0.4704
round 146, feat 1486, thresh 0.1243, roundErr 0.5308
round 147, feat 23, thresh 0.2845, roundErr 0.4703
round 148, feat 44, thresh 0.0939, roundErr 0.5293
round 149, feat 644, thresh 0.0000, roundErr 0.4691
round 150, feat 517, thresh 0.1844, roundErr 0.5306
round 151, feat 3, thresh 0.1927, roundErr 0.4695
round 152, feat 182, thresh 0.1215, roundErr 0.5293
round 153, feat 461, thresh 0.3670, roundErr 0.4697
round 154, feat 92, thresh 0.0000, roundErr 0.5303
round 155, feat 5, thresh 0.0000, roundErr 0.4699
round 156, feat 332, thresh 0.0000, roundErr 0.5296
round 157, feat 749, thresh 0.1123, roundErr 0.5300
round 158, feat 965, thresh 0.1133, roundErr 0.4713
round 159, feat 1023, thresh 0.1735, roundErr 0.5241
round 160, feat 471, thresh 0.2024, roundErr 0.4694
round 161, feat 195, thresh 0.1245, roundErr 0.5292
round 162, feat 612, thresh 0.0000, roundErr 0.4701
round 163, feat 240, thresh 0.0000, roundErr 0.5292
round 164, feat 1451, thresh 0.1168, roundErr 0.4704
round 165, feat 630, thresh 0.1925, roundErr 0.5276
round 166, feat 737, thresh 0.0000, roundErr 0.4708
round 167, feat 232, thresh 0.2101, roundErr 0.5291
round 168, feat 934, thresh 0.2046, roundErr 0.4714
round 169, feat 426, thresh 0.0000, roundErr 0.5267
round 170, feat 1215, thresh 0.1177, roundErr 0.4712
round 171, feat 562, thresh 0.0000, roundErr 0.5291
round 172, feat 0, thresh 0.0000, roundErr 0.4713
round 173, feat 290, thresh 0.0000, roundErr 0.5289
round 174, feat 467, thresh 0.3047, roundErr 0.4711
round 175, feat 480, thresh 0.2342, roundErr 0.5285
round 176, feat 493, thresh 0.2910, roundErr 0.4715
round 177, feat 49, thresh 0.0000, roundErr 0.5283
round 178, feat 455, thresh 0.2779, roundErr 0.4717
round 179, feat 975, thresh 0.2181, roundErr 0.5260
round 180, feat 13, thresh 0.0000, roundErr 0.4713
round 181, feat 515, thresh 0.1576, roundErr 0.5286
round 182, feat 1, thresh 0.0000, roundErr 0.4713
round 183, feat 132, thresh 0.0000, roundErr 0.5283
round 184, feat 441, thresh 0.0000, roundErr 0.4713
round 185, feat 859, thresh 0.0000, roundErr 0.5284
round 186, feat 2, thresh 0.3659, roundErr 0.4719
round 187, feat 250, thresh 0.0000, roundErr 0.5279
round 188, feat 437, thresh 0.2205, roundErr 0.4714
round 189, feat 340, thresh 0.1881, roundErr 0.5283
round 190, feat 644, thresh 0.0000, roundErr 0.4716
round 191, feat 283, thresh 0.2837, roundErr 0.5280
round 192, feat 843, thresh 0.2507, roundErr 0.4718
round 193, feat 623, thresh 0.2215, roundErr 0.5269
round 194, feat 1695, thresh 0.1562, roundErr 0.4722
round 195, feat 849, thresh 0.1857, roundErr 0.5224
round 196, feat 1215, thresh 0.1177, roundErr 0.4729
round 197, feat 110, thresh 0.0000, roundErr 0.5275
round 198, feat 5, thresh 0.0000, roundErr 0.4722
round 199, feat 830, thresh 0.2418, roundErr 0.5275
function 0, time 523.015882s
round 0, feat 797, thresh 0.0487, roundErr 0.3482
round 1, feat 813, thresh 0.1521, roundErr 0.5669
round 2, feat 455, thresh 0.0421, roundErr 0.4369
round 3, feat 92, thresh 0.1144, roundErr 0.6061
round 4, feat 451, thresh 0.0889, roundErr 0.4145
round 5, feat 340, thresh 0.0627, roundErr 0.5827
round 6, feat 455, thresh 0.0561, roundErr 0.4267
round 7, feat 923, thresh 0.1515, roundErr 0.5713
round 8, feat 195, thresh 0.1044, roundErr 0.4372
round 9, feat 272, thresh 0.1338, roundErr 0.5725
round 10, feat 451, thresh 0.0889, roundErr 0.4372
round 11, feat 336, thresh 0.0000, roundErr 0.5624
round 12, feat 480, thresh 0.0000, roundErr 0.4424
round 13, feat 232, thresh 0.1697, roundErr 0.5590
round 14, feat 426, thresh 0.1368, roundErr 0.4426
round 15, feat 283, thresh 0.0000, roundErr 0.5561
round 16, feat 195, thresh 0.1044, roundErr 0.4436
round 17, feat 92, thresh 0.1510, roundErr 0.5553
round 18, feat 1030, thresh 0.0747, roundErr 0.4472
round 19, feat 561, thresh 0.0681, roundErr 0.5462
round 20, feat 517, thresh 0.1107, roundErr 0.4561
round 21, feat 340, thresh 0.0627, roundErr 0.5530
round 22, feat 451, thresh 0.0740, roundErr 0.4498
round 23, feat 240, thresh 0.1370, roundErr 0.5508
round 24, feat 635, thresh 0.0560, roundErr 0.4504
round 25, feat 71, thresh 0.1000, roundErr 0.5458
round 26, feat 455, thresh 0.1123, roundErr 0.4525
round 27, feat 1396, thresh 0.1178, roundErr 0.5476
round 28, feat 195, thresh 0.1868, roundErr 0.4642
round 29, feat 272, thresh 0.1577, roundErr 0.5463
round 30, feat 480, thresh 0.0946, roundErr 0.4540
round 31, feat 232, thresh 0.1697, roundErr 0.5466
round 32, feat 517, thresh 0.1107, roundErr 0.4558
round 33, feat 618, thresh 0.1431, roundErr 0.5453
round 34, feat 426, thresh 0.1368, roundErr 0.4583
round 35, feat 1023, thresh 0.1012, roundErr 0.5442
round 36, feat 338, thresh 0.0000, roundErr 0.5323
round 37, feat 602, thresh 0.0955, roundErr 0.4539
round 38, feat 562, thresh 0.0964, roundErr 0.5411
round 39, feat 401, thresh 0.0656, roundErr 0.4573
round 40, feat 579, thresh 0.0000, roundErr 0.5439
round 41, feat 565, thresh 0.1216, roundErr 0.4597
round 42, feat 250, thresh 0.0000, roundErr 0.5367
round 43, feat 412, thresh 0.0610, roundErr 0.4562
round 44, feat 340, thresh 0.0627, roundErr 0.5434
round 45, feat 1, thresh 0.0000, roundErr 0.4583
round 46, feat 336, thresh 0.0000, roundErr 0.5410
round 47, feat 179, thresh 0.0666, roundErr 0.4618
round 48, feat 143, thresh 0.0000, roundErr 0.5379
round 49, feat 515, thresh 0.0000, roundErr 0.4608
round 50, feat 250, thresh 0.0000, roundErr 0.5404
round 51, feat 451, thresh 0.0889, roundErr 0.4605
round 52, feat 630, thresh 0.0794, roundErr 0.5392
round 53, feat 849, thresh 0.0464, roundErr 0.4617
round 54, feat 1032, thresh 0.1754, roundErr 0.5375
round 55, feat 407, thresh 0.0000, roundErr 0.4667
round 56, feat 290, thresh 0.0828, roundErr 0.5384
round 57, feat 389, thresh 0.0000, roundErr 0.4632
round 58, feat 338, thresh 0.0000, roundErr 0.5380
round 59, feat 455, thresh 0.1684, roundErr 0.4625
round 60, feat 240, thresh 0.1370, roundErr 0.5363
round 61, feat 480, thresh 0.0000, roundErr 0.4630
round 62, feat 966, thresh 0.1190, roundErr 0.5363
round 63, feat 412, thresh 0.0610, roundErr 0.4690
round 64, feat 66, thresh 0.1145, roundErr 0.5377
round 65, feat 517, thresh 0.1107, roundErr 0.4640
round 66, feat 562, thresh 0.0964, roundErr 0.5361
round 67, feat 388, thresh 0.0000, roundErr 0.4655
round 68, feat 272, thresh 0.0892, roundErr 0.5359
round 69, feat 195, thresh 0.3480, roundErr 0.4658
round 70, feat 92, thresh 0.2135, roundErr 0.5347
round 71, feat 2, thresh 0.1232, roundErr 0.4650
round 72, feat 232, thresh 0.1697, roundErr 0.5362
round 73, feat 755, thresh 0.0572, roundErr 0.4661
round 74, feat 283, thresh 0.0000, roundErr 0.5257
round 75, feat 401, thresh 0.0656, roundErr 0.4662
round 76, feat 250, thresh 0.0000, roundErr 0.5348
round 77, feat 426, thresh 0.2128, roundErr 0.4652
round 78, feat 344, thresh 0.1003, roundErr 0.5328
round 79, feat 12, thresh 0.0000, roundErr 0.4654
round 80, feat 143, thresh 0.0000, roundErr 0.5344
round 81, feat 1, thresh 0.0000, roundErr 0.4670
round 82, feat 262, thresh 0.0000, roundErr 0.5339
round 83, feat 919, thresh 0.1025, roundErr 0.4668
round 84, feat 71, thresh 0.1000, roundErr 0.5315
round 85, feat 748, thresh 0.1094, roundErr 0.4682
round 86, feat 338, thresh 0.0000, roundErr 0.5283
round 87, feat 412, thresh 0.0610, roundErr 0.4670
round 88, feat 44, thresh 0.0830, roundErr 0.5324
round 89, feat 515, thresh 0.0000, roundErr 0.4689
round 90, feat 250, thresh 0.0000, roundErr 0.5322
round 91, feat 407, thresh 0.0000, roundErr 0.4686
round 92, feat 295, thresh 0.0000, roundErr 0.5313
round 93, feat 648, thresh 0.0000, roundErr 0.4696
round 94, feat 340, thresh 0.0627, roundErr 0.5307
round 95, feat 389, thresh 0.2055, roundErr 0.4704
round 96, feat 630, thresh 0.0794, roundErr 0.5306
round 97, feat 1695, thresh 0.0652, roundErr 0.4706
round 98, feat 110, thresh 0.0000, roundErr 0.5229
round 99, feat 195, thresh 0.1044, roundErr 0.4692
round 100, feat 240, thresh 0.1370, roundErr 0.5276
round 101, feat 602, thresh 0.0361, roundErr 0.4698
round 102, feat 232, thresh 0.1697, roundErr 0.5281
round 103, feat 588, thresh 0.0000, roundErr 0.4718
round 104, feat 290, thresh 0.0828, roundErr 0.5302
round 105, feat 1, thresh 0.0000, roundErr 0.4712
round 106, feat 338, thresh 0.0000, roundErr 0.5299
round 107, feat 480, thresh 0.0946, roundErr 0.4703
round 108, feat 361, thresh 0.1234, roundErr 0.5280
round 109, feat 414, thresh 0.0000, roundErr 0.4717
round 110, feat 262, thresh 0.0000, roundErr 0.5287
round 111, feat 388, thresh 0.0000, roundErr 0.4717
round 112, feat 143, thresh 0.0000, roundErr 0.5285
round 113, feat 517, thresh 0.1107, roundErr 0.4722
